count,item,construction
1,whāriki,ma-TA-V
1,whāki,ma-TA-V
1,whāiatia,ma-TA-V
1,whiu,na-det-TA-V
1,whiri,na-TA-V
1,whati,na-TA-V
1,whati,ma-det-TA-V
1,whakawā,ma-det-TA-V
1,whakawāwā,ma-det-TA-V
1,whakawāteahia,na-TA-V
1,whakawhānui,ma-TA-V
1,whakawhiti,na-TA-V
1,whakawhitiwhiti,ma-TA-V
1,whakawhiriwhiri,ma-TA-V
1,whakawhawhai,ma-TA-V
1,whakawaiwai,ma-TA-V
1,whakauru,na-det-TA-V
1,whakauru,ma-det-TA-V
1,whakatū,na-det-TA-V
1,whakatū,ma-det-TA-V
1,whakatūria,na-TA-V
1,whakatō,na-det-TA-V
1,whakatīmata,ma-TA-V
1,whakatā,na-det-TA-V
1,whakatāpuke,ma-TA-V
1,whakatutuki,ma-det-TA-V
1,whakatinana,na-TA-V
1,whakatinanahia,na-TA-V
1,whakatere,ma-TA-V
1,whakatau,na-det-TA-V
1,whakataukī,na-TA-V
1,whakatauira,na-TA-V
1,whakatatū,ma-det-TA-V
1,whakatapu,ma-TA-V
1,whakatakoto,ma-det-TA-V
1,whakatakotohia,na-TA-V
1,whakarārangi,ma-TA-V
1,whakarāpopoto,ma-TA-V
1,whakarāhuitia,na-TA-V
1,whakarongo,ma-TA-V
1,whakareka,ma-TA-V
1,whakarei,na-TA-V
1,whakaratarata,ma-det-TA-V
1,whakararata,na-TA-V
1,whakarahi,ma-TA-V
1,whakapūmau,ma-TA-V
1,whakapīataata,ma-TA-V
1,whakaputa,ma-det-TA-V
1,whakapupū,na-TA-V
1,whakapuare,na-TA-V
1,whakapuaki,na-TA-V
1,whakapau,na-TA-V
1,whakapai,na-det-TA-V
1,whakapai,ma-det-TA-V
1,whakapai,ma-TA-V
1,whakapahū,na-det-TA-V
1,whakapahū,na-TA-V
1,whakaora,na-det-TA-V
1,whakaora,na-TA-V
1,whakaora,ma-det-TA-V
1,whakaora,ma-TA-V
1,whakaoho,na-TA-V
1,whakanui,ma-TA-V
1,whakanoa,ma-TA-V
1,whakangāwari,ma-TA-V
1,whakangoikore,na-TA-V
1,whakamātau,na-TA-V
1,whakamātautau,ma-TA-V
1,whakamārama,na-det-TA-V
1,whakamāori,na-det-TA-V
1,whakamāmā,na-det-TA-V
1,whakamawehe,ma-TA-V
1,whakamau,na-TA-V
1,whakamau,ma-TA-V
1,whakamate,ma-TA-V
1,whakamanuhiri,na-TA-V
1,whakamana,ma-det-TA-V
1,whakamahi,ma-TA-V
1,whakamahana,na-TA-V
1,whakakōkiri,na-TA-V
1,whakakīkī,ma-TA-V
1,whakakotiti,na-TA-V
1,whakakotahi,na-TA-V
1,whakakopi,na-TA-V
1,whakakitea,ma-TA-V
1,whakakawe,ma-det-TA-V
1,whakakaupapa,ma-TA-V
1,whakakapi,ma-TA-V
1,whakakamakama,ma-TA-V
1,whakakaingākau,na-TA-V
1,whakaiti,ma-TA-V
1,whakairo,na-det-TA-V
1,whakairo,ma-det-TA-V
1,whakairi,na-det-TA-V
1,whakairi,na-TA-V
1,whakaingoa,na-det-TA-V
1,whakahōnore,ma-TA-V
1,whakahē,na-det-TA-V
1,whakahē,ma-TA-V
1,whakahuihui,na-TA-V
1,whakahuihui,ma-TA-V
1,whakahua,na-det-TA-V
1,whakahua,ma-TA-V
1,whakahora,na-TA-V
1,whakahoki,ma-det-TA-V
1,whakahiwa,na-TA-V
1,whakahihiko,na-TA-V
1,whakahau,ma-TA-V
1,whakaeke,ma-TA-V
1,whakaata,ma-TA-V
1,whakaari,na-TA-V
1,whakaara,na-TA-V
1,whakaara,ma-TA-V
1,whakaako,na-TA-V
1,whakaako,ma-det-TA-V
1,whakaako,ma-TA-V
1,whakaahua,na-TA-V
1,whai,ma-TA-V
1,wero,ma-TA-V
1,wawata,na-TA-V
1,wawatahia,ma-TA-V
1,wai,ma-det-TA-V
1,wai,ma-TA-V
1,waimarie,na-TA-V
1,waihotia,na-det-TA-V
1,waihanga,na-det-TA-V
1,waihanga,na-TA-V
1,waihanga,ma-TA-V
1,waea,ma-det-TA-V
1,uru,na-TA-V
1,unu,ma-TA-V
1,ui,na-det-TA-V
1,tū,na-TA-V
1,tūmanako,na-TA-V
1,tīni,na-TA-V
1,tīni,ma-TA-V
1,tīmata,ma-det-TA-V
1,tīkai,na-TA-V
1,tēneki,na-TA-V
1,tēnaka,na-TA-V
1,tātarihia,ma-TA-V
