konae,rarangi,kupu,root,suffix,nominal,double_passive
mbc197-not-stripped.txt,22,fakafAnuihia,fakafAnui,hia,no,no
mbc074-not-stripped.txt,60,irihia,iri,hia,no,no
mbc097-not-stripped.txt,33,manaakitia,manaaki,tia,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc205-not-stripped.txt,9,heria,heri,a,no,no
mbc123-not-stripped.txt,83,tUtUNia,tUtU,Nia,no,no
mbc205-not-stripped.txt,4,haria,hari,a,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc134-not-stripped.txt,13,mahia,mahi,a,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc205-not-stripped.txt,4,fakatakotoNia,fakatakoto,Nia,no,no
mbc205-not-stripped.txt,4,taNihia,taNi,hia,no,no
mbc062-not-stripped.txt,21,fakakotitiNia,fakakotiti,Nia,no,no
mbc205-not-stripped.txt,9,werohia,wero,hia,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc205-not-stripped.txt,4,waihotia,waiho,tia,no,no
mbc205-not-stripped.txt,11,hauhia,hau,hia,no,no
mbc102-not-stripped.txt,14,manatia,mana,tia,no,no
mbc134-not-stripped.txt,13,fakamahia,fakamahi,a,no,no
mbc205-not-stripped.txt,4,tuia,tui,a,no,no
mbc205-not-stripped.txt,11,hoea,hoe,a,no,no
mbc216-not-stripped.txt,5,hurihia,huri,hia,no,no
mbc216-not-stripped.txt,1,homaihia,homai,hia,no,no
mbc216-not-stripped.txt,3,taea,tae,a,no,no
mbc216-not-stripped.txt,5,fakahauhauNia,fakahauhau,Nia,no,no
mbc216-not-stripped.txt,5,taea,tae,a,no,no
mbc216-not-stripped.txt,5,hurihia,huri,hia,no,no
mbc216-not-stripped.txt,1,homaihia,homai,hia,no,no
mbc226-not-stripped.txt,39,kitea,kite,a,no,no
mbc052-not-stripped.txt,7,taea,tae,a,no,no
mbc052-not-stripped.txt,3,fakahokia,fakahoki,a,no,no
mbc234-not-stripped.txt,20,fAia,fai,a,no,no
mbc234-not-stripped.txt,14,akoNia,ako,Nia,no,no
mbc234-not-stripped.txt,28,fakafifia,fakafifi,a,no,no
mbc234-not-stripped.txt,26,taea,tae,a,no,no
mbc234-not-stripped.txt,26,fakamanatia,fakamana,tia,no,no
mbc234-not-stripped.txt,28,tirohia,titiro,hia,no,no
mbc234-not-stripped.txt,28,tirohia,titiro,hia,no,no
mbc234-not-stripped.txt,18,fakaputaina,fakaputa,ina,no,no
mbc234-not-stripped.txt,36,kIia,kI,ia,no,no
mbc234-not-stripped.txt,36,tUmanakohia,tUmanako,hia,no,no
mbc234-not-stripped.txt,28,fAia,fai,a,no,no
mbc234-not-stripped.txt,40,wawatahia,wawata,hia,no,no
mbc234-not-stripped.txt,40,fakaputaina,fakaputa,ina,no,no
mbc008-not-stripped.txt,12,tUrorotia,tUroro,tia,no,no
mbc057-not-stripped.txt,48,kohia,kohi,a,no,no
mbc048-not-stripped.txt,34,fakaritea,fakarite,a,no,no
mbc048-not-stripped.txt,32,kOrerotia,kOrero,tia,no,no
mbc134-not-stripped.txt,10,mihimihiNia,mihimihi,Nia,no,no
mbc134-not-stripped.txt,10,huihuiNia,huihui,Nia,no,no
mbc134-not-stripped.txt,10,poroporoakiNia,poroporoaki,Nia,no,no
mbc134-not-stripped.txt,10,kawea,kawe,a,no,no
mbc120-not-stripped.txt,18,fakamahia,fakamahi,a,no,no
mbc088-not-stripped.txt,34,fakatapuhia,fakatapu,hia,no,no
mbc087-not-stripped.txt,51,takahitia,takahi,tia,no,no
mbc088-not-stripped.txt,34,fakahuratia,fakahura,tia,no,no
mbc218-not-stripped.txt,37,mahia,mahi,a,no,no
mbc271-not-stripped.txt,124,taea,tae,a,no,no
mbc271-not-stripped.txt,147,meatia,mea,tia,no,no
mbc271-not-stripped.txt,8,taea,tae,a,no,no
mbc271-not-stripped.txt,142,tukuna,tuku,na,no,no
mbc271-not-stripped.txt,149,hokona,hoko,na,no,no
mbc074-not-stripped.txt,32,fakaatuNia,fakaatu,Nia,no,no
mbc074-not-stripped.txt,32,fakaaeNia,fakaae,Nia,no,no
mbc074-not-stripped.txt,28,Araihia,Arai,hia,no,no
mbc229-not-stripped.txt,50,taea,tae,a,no,no
mbc229-not-stripped.txt,50,fakaaroNia,fakaaro,Nia,no,no
mbc139-not-stripped.txt,30,taea,tae,a,no,no
mbc098-not-stripped.txt,25,haria,hari,a,no,no
mbc098-not-stripped.txt,27,haria,hari,a,no,no
mbc098-not-stripped.txt,27,taea,tae,a,no,no
mbc098-not-stripped.txt,15,manaakitia,manaaki,tia,no,no
mbc098-not-stripped.txt,23,mahia,mahi,a,no,no
mbc098-not-stripped.txt,19,taea,tae,a,no,no
mbc098-not-stripped.txt,27,haerea,haere,a,no,no
mbc098-not-stripped.txt,19,manaakitia,manaaki,tia,no,no
mbc098-not-stripped.txt,27,haria,hari,a,no,no
mbc098-not-stripped.txt,23,haria,hari,a,no,no
mbc098-not-stripped.txt,15,aratakina,arataki,na,no,no
mbc098-not-stripped.txt,15,tiakina,tiaki,na,no,no
mbc098-not-stripped.txt,15,paiheretia,paihere,tia,no,no
mbc098-not-stripped.txt,27,mahia,mahi,a,no,no
mbc098-not-stripped.txt,21,taea,tae,a,no,no
mbc098-not-stripped.txt,27,taea,tae,a,no,no
mbc098-not-stripped.txt,15,manaakitia,manaaki,tia,no,no
mbc098-not-stripped.txt,15,tukuna,tuku,na,no,no
mbc087-not-stripped.txt,39,taea,tae,a,no,no
mbc087-not-stripped.txt,39,taea,tae,a,no,no
mbc087-not-stripped.txt,39,taea,tae,a,no,no
mbc041-not-stripped.txt,19,homaiNia,homai,Nia,no,no
mbc041-not-stripped.txt,14,purua,puru,a,no,no
mbc273-not-stripped.txt,31,haukUtia,haukU,tia,no,no
mbc273-not-stripped.txt,31,kitea,kite,a,no,no
mbc273-not-stripped.txt,31,panaNia,pana,Nia,no,no
mbc273-not-stripped.txt,31,panaNia,pana,Nia,no,no
mbc273-not-stripped.txt,31,panaNia,pana,Nia,no,no
mbc273-not-stripped.txt,33,haNaNia,haNa,Nia,no,no
mbc273-not-stripped.txt,33,haNaNia,haNa,Nia,no,no
mbc273-not-stripped.txt,34,fakaroNoNia,fakaroNo,Nia,no,no
mbc273-not-stripped.txt,34,haNaNia,haNa,Nia,no,no
mbc273-not-stripped.txt,34,tirohia,titiro,hia,no,no
mbc273-not-stripped.txt,35,fakamAfANia,fakamAfA,Nia,no,no
mbc044-not-stripped.txt,37,fakatinanahia,fakatinana,hia,no,no
mbc081-not-stripped.txt,55,fakahokia,fakahoki,a,no,no
mbc228-not-stripped.txt,16,fiua,fiu,a,no,no
mbc227-not-stripped.txt,9,fakaaetia,fakaae,tia,no,no
mbc169-not-stripped.txt,20,werohia,wero,hia,no,no
mbc169-not-stripped.txt,20,werohia,wero,hia,no,no
mbc228-not-stripped.txt,16,fiua,fiu,a,no,no
mbc228-not-stripped.txt,16,fAia,fai,a,no,no
mbc169-not-stripped.txt,20,kOrerorerotia,kOrerorero,tia,no,no
mbc228-not-stripped.txt,16,haria,hari,a,no,no
mbc224-not-stripped.txt,45,taea,tae,a,no,no
mbc169-not-stripped.txt,20,waihotia,waiho,tia,no,no
mbc153-not-stripped.txt,12,kumea,kume,a,no,no
mbc153-not-stripped.txt,12,fakatikaNia,fakatika,Nia,no,no
mbc227-not-stripped.txt,40,pANia,pA,Nia,no,no
mbc230-not-stripped.txt,88,kOrerotia,kOrero,tia,no,no
mbc230-not-stripped.txt,88,kOrerotia,kOrero,tia,no,no
mbc230-not-stripped.txt,88,mahia,mahi,a,no,no
mbc230-not-stripped.txt,88,kOrerotia,kOrero,tia,no,no
mbc265-not-stripped.txt,88,tukua,tuku,a,no,no
mbc265-not-stripped.txt,88,mahia,mahi,a,no,no
mbc265-not-stripped.txt,88,taea,tae,a,no,no
mbc236-not-stripped.txt,2,katoaNia,katoa,Nia,no,no
mbc236-not-stripped.txt,2,taNihia,taNi,hia,no,no
mbc236-not-stripped.txt,2,katoaNia,katoa,Nia,no,no
mbc236-not-stripped.txt,2,uhia,uhi,a,no,no
mbc230-not-stripped.txt,1,haria,hari,a,no,no
mbc230-not-stripped.txt,82,kimitia,kimi,tia,no,no
mbc230-not-stripped.txt,73,tapahia,tapahi,a,no,no
mbc230-not-stripped.txt,80,fakahokia,fakahoki,a,no,no
