SubHead,kei.te,AE,Key,Diff,DiffAbs,Count
upoko-o-te-ika,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
uri,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
uru,0.0007016074949122848,-0.0003418002292229524,0.0003598072656893324,0.0010434077241352371,0.0010434077241352371,41.0
urunga,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
uruuru,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
uta,0.0007016074949122848,-0.0003418002292229524,0.0003598072656893324,0.0010434077241352371,0.0010434077241352371,11.0
utu,-0.0015696757857701898,0.00458816829015526,0.0030184925043850704,-0.00615784407592545,0.00615784407592545,29.0
uwhi,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
waea,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
waenganui,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
waewae,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
waha,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
wahapū,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,11.0
wahine,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
wai,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,13.0
