SubHead,ka,AE,Key,Diff,DiffAbs,Count
tahu,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,8.0
tahuri,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,21.0
tai,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
taiapa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
taina,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
taitamariki,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
taiāwhio,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
taka,0.0028569877153585507,-0.0006813182443826773,0.0021756694709758736,0.0035383059597412277,0.0035383059597412277,20.0
taka-hue,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
takahi,-0.0009460443069227956,0.006317004024695036,0.005370959717772241,-0.0072630483316178315,0.0072630483316178315,19.0
takahuri,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,10.0
takai,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
takapakari,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
takaroa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
takatakahi,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,10.0
takatū,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
takawaenga,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
takaware,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
take,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,19.0
taki,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
takiwā,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
takoha,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,10.0
takoto,0.0017127227410005561,-0.0005445872213542643,0.001168135519646292,0.0022573099623548203,0.0022573099623548203,22.0
takotoranga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
takutai,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
tama,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
