SubHead,kua,AE,Key,Diff,DiffAbs,Count
huarahi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,13.0
hui,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,31.0
huihui,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,11.0
huihuinga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
huinga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
huna,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hunga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,13.0
hura,-0.0005190418490350034,0.0014933149382504952,0.0009742730892154919,-0.002012356787285499,0.002012356787285499,10.0
huri,0.013668244235380248,-0.0018725890090326481,0.011795655226347599,0.015540833244412897,0.015540833244412897,64.0
huri-nui,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hurihuri,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
huritau,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hurori,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
huruhuru,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
huti,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,9.0
hāereere,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hāhi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hākoakoa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hāmama,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hāmene,-0.0006397879140737747,0.0012271391361791855,0.0005873512221054107,-0.0018669270502529602,0.0018669270502529602,15.0
hāngai,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,17.0
hāora,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hāpai,-0.0011103840908453845,0.010648808332365535,0.009538424241520151,-0.01175919242321092,0.01175919242321092,21.0
hātarei,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hē,0.0023529808838580494,-0.0009026225302939216,0.0014503583535641277,0.003255603414151971,0.003255603414151971,35.0
hēkeretari,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hīkoi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,14.0
hīkoitanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hōhipera,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,12.0
hōhonutanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
hōhā,0.0028057710120878844,-0.0006726978074200345,0.00213307320466785,0.0034784688195079187,0.0034784688195079187,11.0
hōiho,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
hōnore,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hōpua,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
