SubHead,AVP,APV,Key,Diff,DiffAbs,Count
kuhu,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
kui,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
kuia,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
kura,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
kāwana,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
kī,0.001652827093674747,-0.0014149885865703666,0.0002378385071043804,0.0030678156802451135,0.0030678156802451135,26.0
kōhuru,0.008609042752618293,-0.0023584699999886906,0.006250572752629602,0.010967512752606984,0.010967512752606984,12.0
kōkiri,-0.001915167528054451,0.003934989019390566,0.0020198214913361152,-0.005850156547445017,0.005850156547445017,10.0
kōrero,-0.008130052302964322,0.014173404644081535,0.006043352341117213,-0.022303456947045858,0.022303456947045858,50.0
mahi,0.009916542142628352,-0.005821420524009775,0.0040951216186185775,0.015737962666638128,0.015737962666638128,40.0
manaaki,-0.010968344076945805,0.057091329752787495,0.04612298567584169,-0.0680596738297333,0.0680596738297333,48.0
mau,-0.0033472115153224376,0.00458488717581507,0.0012376756604926325,-0.007932098691137507,0.007932098691137507,32.0
maumahara,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
mea,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
mema,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
mihi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
moe,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
morimori,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
