Argument,APV,AVP,Key,Diff,DiffAbs,Count
kahu,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
kai,-0.002288491516405972,0.009285459500820695,0.006996967984414723,-0.011573951017226667,0.011573951017226667,14.0
kaikōrero,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kaipākihi,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kanohi,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
kapa,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kara,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
karakia,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
karanga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kauhau,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kaupapa,-0.009338549857975437,0.024207997753381633,0.014869447895406196,-0.03354654761135707,0.03354654761135707,58.0
kawa,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
kawenga,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
koe,0.05641058533225871,-0.01089921964430697,0.04551136568795174,0.06730980497656569,0.06730980497656569,54.0
koha,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
koko,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
konei,0.0019176601038607842,-0.001296804401726851,0.0006208557021339333,0.0032144645055876353,0.0032144645055876353,12.0
konā,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
kore,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
koro,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
kotahitanga,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
koutou,0.08203822669295394,-0.005839766761975902,0.07619845993097804,0.08787799345492983,0.08787799345492983,42.0
ku,0.0005074538663520541,-0.0004575495634732333,4.990430287882074e-05,0.0009650034298252874,0.0009650034298252874,14.0
kuhu,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kuia,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kupu,0.011617627596780984,-0.0019640851075220893,0.009653542489258895,0.013581712704303073,0.013581712704303073,10.0
kura,-0.0016259668299547234,0.004398195358816754,0.0027722285288620304,-0.006024162188771477,0.006024162188771477,10.0
kāhaki,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kākano,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
kāreti,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kāroti,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kāwanatanga,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
kēhua,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kēmu,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kōhatu,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
kōkiri,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kōkā,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kōrero,-0.007962321903571897,0.026922325994397794,0.018960004090825898,-0.03488464789796969,0.03488464789796969,48.0
kōtiro,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kōura,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
kūmara,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
mahi,-0.009271680084211188,0.028841584279636834,0.019569904195425647,-0.03811326436384802,0.03811326436384802,56.0
mamae,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mamahi,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mana,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
manaakitanga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
manuhiri,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
marae,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
maramara,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mata,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
matatau,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mate,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
matua,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mau,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
maunga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mea,0.0005074538663520541,-0.0004575495634732333,4.990430287882074e-05,0.0009650034298252874,0.0009650034298252874,14.0
mehemea,-0.0019905804758929744,0.006730581498599448,0.0047400010227064745,-0.008721161974492422,0.008721161974492422,12.0
mema,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mere,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mere-eia,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
moemoeā,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mokopuna,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
moni,-0.0028155565598293074,0.006664002376966162,0.0038484458171368545,-0.00947955893679547,0.00947955893679547,18.0
moutere,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mua,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
muri,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
muri-whenua,0.007303014460077008,-0.0016462043644814473,0.005656810095595561,0.008949218824558455,0.008949218824558455,8.0
mā,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
māori,0.006237701612915046,-0.003615602260871989,0.002622099352043057,0.009853303873787035,0.009853303873787035,26.0
māramatanga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
mātaatua,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
mātou,0.010038336805585128,-0.005430684751397213,0.004607652054187915,0.015469021556982342,0.015469021556982342,36.0
māua,0.007303014460077008,-0.0016462043644814473,0.005656810095595561,0.008949218824558455,0.008949218824558455,8.0
mōtoi,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
na,-0.0006437987586448982,0.0006965831430553418,5.278438441044364e-05,-0.00134038190170024,0.00134038190170024,26.0
nama,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
nawe,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ngāi,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
ngākau,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ngāti,0.016345102725667488,-0.0022106525675377902,0.014134450158129698,0.01855575529320528,0.01855575529320528,12.0
noho,-0.0019905804758929744,0.006730581498599448,0.0047400010227064745,-0.008721161974492422,0.008721161974492422,12.0
nuinga,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
ohu,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ope,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
oranga,-0.0016259668299547234,0.004398195358816754,0.0027722285288620304,-0.006024162188771477,0.006024162188771477,10.0
pae,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
paiheneti,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
painga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
pakanga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
pakeke,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
paki,-0.002288491516405972,0.009285459500820695,0.006996967984414723,-0.011573951017226667,0.011573951017226667,14.0
pana,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
paoho,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
paora,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
papa,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
patupaiarehe,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
pea,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
