Predecessor,mā,nā,Key,Diff,DiffAbs,Count
iwi,-0.00019292311753383527,0.00019839611377592988,5.472996242094616e-06,-0.0003913192313097652,0.0003913192313097652,8.0
kaha,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kai,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
kaikutikuti,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
kaiārahi,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kake,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kamupene,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
karaitiana,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
katoa,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
kaupapa,-0.00038584623506767053,0.00039679222755185977,1.0945992484189232e-05,-0.0007826384626195304,0.0007826384626195304,16.0
kite,0.0039050819593009476,-0.002677242950820981,0.0012278390084799668,0.006582324910121928,0.006582324910121928,10.0
koe,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
koia,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
komiti,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
konei,0.0039050819593009476,-0.002677242950820981,0.0012278390084799668,0.006582324910121928,0.006582324910121928,10.0
korotangi,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
koroua,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kuia,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
kāmura,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kāre,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
kātahi,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
kī,-0.0002893846763007529,0.00029759417066389484,8.209494363141964e-06,-0.0005869788469646477,0.0005869788469646477,12.0
kōhanga,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
