Predecessor,AV,APV,Key,Diff,DiffAbs,Count
katoa,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
kaupapa,0.010315959877652943,-0.00584925560073105,0.004466704276921893,0.016165215478383992,0.016165215478383992,18.0
kite,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,12.0
koe,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
koia,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,10.0
komiti,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
konei,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,12.0
korotangi,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
koroua,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
kuia,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,10.0
kāmura,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
kāre,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
kātahi,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
kī,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,14.0
kōhanga,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
kōrero,0.01508918432751487,-0.005347326920188904,0.009741857407325966,0.02043651124770377,0.02043651124770377,14.0
mahi,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
mahue,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
mana,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,10.0
mea,0.05034265027131906,-0.008920250531322643,0.04142239973999642,0.0592629008026417,0.0592629008026417,34.0
mehemea,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,10.0
minita,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
moe-rewa,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
motu,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
mutunga,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
māori,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
mōhio,0.0006169327582355054,-0.0005830120567517661,3.392070148373926e-05,0.0011999448149872713,0.0011999448149872713,14.0
mōnehu,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
na,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
nanakia,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,10.0
noho,0.01508918432751487,-0.005347326920188904,0.009741857407325966,0.02043651124770377,0.02043651124770377,18.0
ono,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
pai,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,14.0
pea,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,10.0
pukapuka,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
pākeke,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
pānui,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
pēnei,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
pērā,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
pōti,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
pūtea,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
reira,0.01508918432751487,-0.005347326920188904,0.009741857407325966,0.02043651124770377,0.02043651124770377,12.0
reo,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,10.0
riro,-0.011226114270685627,0.013791532136667051,0.002565417865981424,-0.025017646407352677,0.025017646407352677,94.0
rua,-0.006309844726265941,0.035777470097384204,0.029467625371118262,-0.04208731482365014,0.04208731482365014,12.0
rākau,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
rātou,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,10.0
rīpoata,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
rōia,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
rōpū,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
take,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,10.0
tamariki,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
tamāhine,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tangata,0.03109308602627973,-0.013222575243134424,0.017870510783145305,0.04431566126941416,0.04431566126941416,42.0
taonga,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
taputapu,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tau,0.010315959877652943,-0.00584925560073105,0.004466704276921893,0.016165215478383992,0.016165215478383992,16.0
tauira,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tekau,-0.007784263301204721,0.06620636312880303,0.05842209982759831,-0.07399062643000776,0.07399062643000776,16.0
tika,0.005007043519370214,-0.0035488066181103314,0.0014582369012598822,0.008555850137480545,0.008555850137480545,18.0
tikanga,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,10.0
tino,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
titiro,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tohunga,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
tokotoru,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tono,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
toru,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
tou,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
tuahine,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tuku,0.005007043519370214,-0.0035488066181103314,0.0014582369012598822,0.008555850137480545,0.008555850137480545,18.0
ture,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
tāne,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tāngata,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,14.0
tāra,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
tātou,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,12.0
tēnei,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
tēnā,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,10.0
tētahi,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
tīmata,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
tūpuna,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,10.0
wahine,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,16.0
waiho,-0.012280401158524946,0.01989461159702127,0.007614210438496322,-0.03217501275554621,0.03217501275554621,34.0
waka,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
whai,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
whakaae,0.022918635887833768,-0.006497551411499264,0.016421084476334502,0.029416187299333034,0.029416187299333034,16.0
whakaatanga,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
whakahoki,-0.002537548644387223,0.0035970406041571455,0.0010594919597699225,-0.0061345892485443684,0.0061345892485443684,10.0
whakairo,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
whakapae,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,16.0
whakarite,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
whakataetae,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
whare,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
whenua,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
wherawhera,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
whā,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
whāngai,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
wiki,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
wā,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
wāhanga,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
wāriu,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
āhei,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
