SubHead,True,False,Key,Diff,DiffAbs,Count
hāpai,0.014223624716337558,-0.0028347259100750073,0.011388898806262551,0.017058350626412564,0.017058350626412564,12.0
hē,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
hūpoki,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
ingarangi,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
inoi,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
kaha,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
kai,-0.00243254338681258,0.004847986292874281,0.0024154429060617008,-0.007280529679686861,0.007280529679686861,12.0
kaiarataki,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kaiwhakahaere,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
kaiārahi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kapo,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
karanga,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
kati,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
kaute,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kawe,-0.00300699409580108,0.003995232928691769,0.000988238832890689,-0.0070022270244928485,0.0070022270244928485,28.0
kimi,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
kiri,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
kite,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
kohi,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
konei,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
konā,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kore,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kuia,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kura,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kī,0.01969372568403465,-0.007136183072597953,0.012557542611436698,0.026829908756632603,0.026829908756632603,30.0
kōhuru,-0.0031538595041084236,0.018856643291699223,0.0157027837875908,-0.022010502795807647,0.022010502795807647,14.0
kōkiri,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
kōrero,-0.010736603034230938,0.01783144089164893,0.0070948378574179904,-0.028568043925879867,0.028568043925879867,64.0
mahi,0.004045008867928331,-0.0031350595971114136,0.0009099492708169172,0.007180068465039744,0.007180068465039744,32.0
