SubHead_y,False,True,Key,Diff,DiffAbs,Count
kapo,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
kaute,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
kawe,0.005837558024257349,-0.0040372892175064515,0.0018002688067508977,0.0098748472417638,0.0098748472417638,18.0
kimi,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
kite,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
kohi,-0.0037546712067611236,0.015580515190099991,0.011825843983338868,-0.019335186396861114,0.019335186396861114,8.0
konei,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
konā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
kore,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
kuia,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
kura,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
kī,0.0006416122117187999,-0.000591657003020499,4.99552086983009e-05,0.0012332692147392988,0.0012332692147392988,10.0
kōhuru,-0.00038760977564723245,0.0004021097763785615,1.4500000731329033e-05,-0.0007897195520257939,0.0007897195520257939,14.0
kōkiri,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
kōrero,0.07627164444399871,-0.016657867793474175,0.05961377665052454,0.0929295122374729,0.0929295122374729,44.0
mahi,-0.00661134872659905,0.015241491285772749,0.008630142559173697,-0.0218528400123718,0.0218528400123718,16.0
manaaki,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
mau,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
maumahara,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
mea,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
mema,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
moe,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
moemoe,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
muru,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
nanakia,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
noho,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
ohorere,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
poipoi,-0.004513726806897749,0.024973758537434256,0.020460031730536506,-0.029487485344332005,0.029487485344332005,10.0
pupuri,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
pānui,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
pātukituki,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
pīkau,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
pōwhiri,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
rangahau,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
raweke,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
rongoā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
rua,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
rui,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
tae,-0.007509342413522247,0.031161030380199982,0.023651687966677735,-0.03867037279372223,0.03867037279372223,16.0
tahu,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
takahi,-0.00038760977564723245,0.0004021097763785615,1.4500000731329033e-05,-0.0007897195520257939,0.0007897195520257939,14.0
takatakahi,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
