SubHead,i.te,AE,Key,Diff,DiffAbs,Count
matua,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,18.0
matā,7.947867119576885e-05,-6.234982322935476e-05,1.712884796641409e-05,0.0001418284944251236,0.0001418284944251236,16.0
matū,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,9.0
mau,-0.0016520622592591959,0.005832081076033682,0.004180018816774486,-0.007484143335292878,0.007484143335292878,596.0
mauhere,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,22.0
mauherehere,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
maumahara,3.296567618310595e-05,-3.103329310964467e-05,1.932383073461279e-06,6.399896929275062e-05,6.399896929275062e-05,61.0
maumaharatanga,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
maumau,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,11.0
maunga,0.0018513555234210355,-0.0003960983421428561,0.0014552571812781795,0.0022474538655638918,0.0022474538655638918,31.0
maunu,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,12.0
mauri,0.0013176229376227774,-0.0003445517982275848,0.0009730711393951927,0.0016621747358503622,0.0016621747358503622,42.0
mautanga,0.00023156949761347255,-0.00013624709331714845,9.53224042963241e-05,0.00036781659093062104,0.00036781659093062104,12.0
mawehe,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mc,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
mea,0.10717620870805022,-0.007006510433136086,0.10016969827491413,0.11418271914118631,0.11418271914118631,1116.0
