Argument,mā,nā,Key,Diff,DiffAbs,Count
manaakitanga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
manuhiri,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
marae,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
maramara,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
mata,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
matatau,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
mate,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
matua,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mau,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
maunga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mea,-0.002192688831865181,0.008980247891014722,0.0067875590591495415,-0.011172936722879903,0.011172936722879903,10.0
mema,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mere-eia,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
moemoeā,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mokopuna,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
moni,0.01338119576217983,-0.003914517231611297,0.009466678530568533,0.017295712993791127,0.017295712993791127,18.0
moutere,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mua,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
muri,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
muri-whenua,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
mā,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
māori,0.005553954232986809,-0.0035541327346840356,0.0019998214983027738,0.009108086967670844,0.009108086967670844,26.0
māramatanga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mātaatua,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
mātou,-0.007613654765138857,0.02026832489866105,0.012654670133522193,-0.027881979663799905,0.027881979663799905,36.0
māua,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
na,-0.0036281203465309076,0.006500863726009399,0.0028727433794784917,-0.010128984072540308,0.010128984072540308,22.0
nama,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
nawe,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
ngāi,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
ngākau,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
ngāti,-0.00011013012956183787,0.00011276062628704098,2.630496725203118e-06,-0.00022289075584887885,0.00022289075584887885,12.0
noho,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
nuinga,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
ohu,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
ope,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
oranga,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
pae,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
paiheneti,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
painga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pakanga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
paki,0.016499112704124116,-0.00281553329850101,0.013683579405623106,0.019314646002625127,0.019314646002625127,14.0
paoho,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
paora,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
papa,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
patupaiarehe,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pea,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
pikitia,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pire,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
poaka,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
poi,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pou,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
puehu,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
pukapuka,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
