Head,mā,nā,Key,Diff,DiffAbs,Count
inanahi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
ingoa,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
iwa,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
iwi,0.02154426672331099,-0.008914003131439863,0.012630263591871128,0.030458269854750853,0.030458269854750853,72.0
joe,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
john,-0.0013702530480138783,0.005896240388423355,0.004525987340409476,-0.007266493436437233,0.007266493436437233,10.0
kaha,-0.001579777509341775,0.008497288118429244,0.00691751060908747,-0.010077065627771019,0.010077065627771019,12.0
kaiako,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
kaihanga,0.009683010333595298,-0.0017360952870840052,0.007946915046511292,0.011419105620679304,0.011419105620679304,14.0
kaipuke,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kaitango,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kaituhi,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kaitā,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kaiwaiata,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kaiārahi,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
karakia,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
karani,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
karauna,-0.0010160766407511853,0.001457402858451195,0.0004413262177000096,-0.00247347949920238,0.00247347949920238,14.0
kaumātua,-0.0014388212499057938,0.0030956457194942833,0.0016568244695884895,-0.004534466969400077,0.004534466969400077,12.0
kaunihera,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
kaupapa,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
kaute,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kino,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
kiore,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
kiri,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
komiti,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
