Head,mā,nā,AE
momo,0.003755868544600939,0.00101010101010101,0.0024330900243309003
puea,0.0009389671361502347,0.00404040404040404,0.0024330900243309003
kuia,0.0018779342723004694,0.0030303030303030303,0.0024330900243309003
tāne,0.0018779342723004694,0.0030303030303030303,0.0024330900243309003
mate,0.0009389671361502347,0.00404040404040404,0.0024330900243309003
āhuatanga,0.0009389671361502347,0.00404040404040404,0.0024330900243309003
kaunihera,0.003755868544600939,0.00101010101010101,0.0024330900243309003
kōrua,0.003755868544600939,0.00101010101010101,0.0024330900243309003
kē,0.0018779342723004694,0.0030303030303030303,0.0024330900243309003
iwa,0.003755868544600939,0.00101010101010101,0.0024330900243309003
john,0.0009389671361502347,0.00404040404040404,0.0024330900243309003
ringa,0.003755868544600939,0.00101010101010101,0.0024330900243309003
hunga,0.0018779342723004694,0.0030303030303030303,0.0024330900243309003
hāhi,0.0009389671361502347,0.00404040404040404,0.0024330900243309003
rino,0.0028169014084507044,0.00202020202020202,0.0024330900243309003
waha,0.003755868544600939,0.00101010101010101,0.0024330900243309003
tūpuna,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
waka,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tipuna,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
waru,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
hōnore,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
ia,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
mokopuna,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
tonu,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tikanga,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
toro,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
wairua,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
rena,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
ētahi,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
māmā,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
tiati,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
hōiho,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
pirimia,0.0018779342723004694,0.00202020202020202,0.0019464720194647203
ono,0.0028169014084507044,0.00101010101010101,0.0019464720194647203
hui,0.0009389671361502347,0.0030303030303030303,0.0019464720194647203
